scenario,partner,partner number,partner color,text,condition 1,condition 2,condition 3,condition 4,condition 5
1-1,Tony,1,Red,Who needs a house out in Hackensack!? I'm done with the grocery store rat race once and for all. It's the country life for Tony!,Every room in the house must be painted blue,At least 3 curios must be packed,Packed antiques must not appear below another object that's in the same vehicle,The Clunker must not contain blue objects,
1-2,Mama Bologne,2,Blue,"You oughta know, poor Tony's father gave himself a heart attack workin' too hard! Mama's getting him outta here! ",Objects left behind in the house must not match the wall color of the room they are in,There must be exactly one lamp packed,The bedroom must have all 3 slots filled,There must be an equal number of packed antique objects and left behind retro objects,
2-1,Dr. Susan Doku,1,Yellow,"My great creation is complete: MARU, the spunky moving girl AI. She will perfect moving, with the power of MATH. And GRIDS! GRIDS!!!",Rooms must not be painted the same color as any object in the house  ,The house must contain exactly 3 lamps,The clunker must contain at least 2 of the same object type,There can only be one of each specific object packed (No duplicate packed objects),
2-2,MARU,2,Green,Hiya! I'm MARU the spunky moving girl AI! I promise I'll NEVER get frustrated with you! No matter how silly your decisions!,Each color must be present the exactly same amount of times on the left side of the house as the right side of the house,The moped must contain an object that is the same color as the paint color in the kitchen,"No room or vehicle may contain a color more than once (For rooms, this includes wall colors)",At least one room in the house must contain exactly 1 style ,
3-1,"Dale,
the Alien Hunter",1,Red,"100% of my ghost-wife's unfinished business was ""have a husband,"" so she disincorporated when we wed. But I'm 43% sure I'm ready for a career change!",The house must contain exactly 1 style and exactly 3 colors (objects and/or wall colors),Retro objects must each be packed lower than another packed object in the same vehicle,The bottom row of vehicles must contain all 4 colors,,
3-2,"Dale's sister,
Donna",2,Green,"I'm proud of Dale for getting through his, uh, divorce. Now he just needs to get his head out of the clouds and find a nice, normal job… ",Each room in the house must contain exactly 1 object,All objects in the moving van must be the same color,"Each vehicle must contain a maximum of 2 object types (lamp, wall hanging, curio) ",,
4-1,"BT ""Big Time"" Barnun",1,Yellow,"We can't lose! The gimmick of the TV show is, he's a pro wrestler livin' with his roommate who's ALSO his agent! Million dollar idea!","If a retro or modern object is packed, it must be packed higher and in the same column as an antique or unique object ",All 4 wall hangings must be packed,All rooms in the house must be painted the color of the most packed object color (The must not be a tie for most packed object color),The smart car and the limo must have an equal number of boxes,
4-2,"The Face
(formerly the Heel)",2,Blue,"I wasn't sure about this ""reality TV"" thing, but BT said I could finally be a face if I agree, an' I always wanted to be da good guy.",Wall hangings must not be packed inside a vehicle (Boxes on top of a vehicle are not inside a vehicle),"Boxes must be in the same column as a lamp, and in a higher row than that lamp","Exactly 1 vehicle must contain all 4 colors (Inside, or stacked in a box on top of the vehicle)",Objects downstairs must match the color temperature (warm or cool) of the wall color of the room they are in,
5-1,Annie,1,Red,"I told him: ""I still love ya, hunk-a, but I'm done with the rock n' roll junk-a. When we hit the road, we're taking one box-a the stuff.""",The object in the box must have the same style as the object inside the moped,The object in the box must be the only object of that type packed,Objects in a room must not match the wall color of that room,The bottom 2 slots of the clunker must both be filled and contain the same object type,
5-2,The Duke,2,Yellow,"I begged that hard headed woman to let me keep my stuff for ol' times sake, but finally I had to say 'alright, okay, you win' and let it go.",The slot the box is stacked directly on top of must contain the same color object as the box (The box must be filled),The house must be painted the same color as the object in the box,The object type inside the moped must also be present in the kitchen,Objects in the house must not be the same color as any packed objects ,
6-1,"Mopie,
the Sentient Moped",1,Blue,"Sacre bleu! When I wished for a companion la shooting star, I wanted a mademoiselle, not my own imbecile motor scooter! Merde!","All boxes must be in the same column as an empty slot, and in a higher row than that empty slot","The upstairs must contain exactly 1 style
The downstairs must contain exactly 1 style","Packed objects in boxes must not be blue
Packed objects inside vehicles (not in boxes) must be blue","The left side of the house must contain only cool colored features
The right side of the house must only contain warm colored features",The moped must contain fewer styles than the limo
6-2,Henri Ennui,2,Green,"Boujour. My name est Mopie. Oui, I am a - 'ow you say - moped… but does it matter? L'homme or Machine… we are all consigned to dust, non?","All boxes must contain an object, and all boxes must contain the same style","Among all the slots inside vehicles, exactly one must be empty","There must be a packed object of every color, and a packed object of every style","All rooms in the house must be painted the same color as either an object in the bottom-most row of packed objects (across all vehicles), or, an object in the top-most row of packed objects",The moped must contain more colors than the limo
7-1,"Dale,
the Job Hunter",1,Red,Donna was right: the supernatural caused me nothing but heartbreak. It's time to join the real world. Just me and my normal roommate!,Packed blue objects must not be in the same row as another blue object unless that blue object is the same object type,"There must be exactly 2 empty slots inside vehicles, and they must not be in the same vehicle",All boxes must be full and not be placed on the moving van,"The smart car must contain all 4 colors, and all 4 styles (include boxes)","Rooms painted a warm color must at least contain exactly one object that matches the wall color, and rooms painted a cool color must not contain any objects that match the wall color"
7-2,"Jerry 
(and the Alien)",2,Blue,"I can't wait to bro down with my best friend (who's a human) Dale! Just us two bros! As long as I can keep him out of the basement, haha...",There must be no more than 1 warm object per column (include boxes),Objects packed in a box must be in the same row as another object of the same type but with the opposite color temperature,Any empty slots in the house must be curio slots,The house must contain exactly one room painted red and exactly one room painted yellow,Every vehicle must contain at least one warm color (include boxes)
8-1,Dr. Susan Doku,1,Yellow,"He's... unusual as far as patrons go, but I can't afford to be picky. And he supports my research completely! What's that? ""Wrestling?""","If a bubble-wrapped object is packed in a vehicle, there must be exactly two bubble-wrapped objects of that type (Lamps, Curios, Wall hangings)  packed in that vehicle ",The house must contain all 4 styles,Rooms must not be painted the same color as any bubble-wrapped object,Objects in the house must match the wall color of the room they are in,
